"Marca temporal","Selecciona tu plantel:","Selecciona tu sexo:","Mi edad:","Grado escolar que estudio:","¿Cómo es tu hogar?","Ademas de estudiar, ¿realizas algún trabajo?","¿Te sientes seguro/a en tu escuela?","Si requieres de ayuda, ¿cuentas con personas dispuestas a auxiliarte en tu escuela?","¿Te sientes seguro/a en tu casa?","Si requirieras ayuda en tu hogar, ¿cuentas con personas dispuestas a auxiliarte? ","En el último mes, has sentido de manera continua:","¿Te gustaría hablar con un profesional de la salud sobre alguna(s) de esta(s) emociones que has sentido?","¿Experimentas alguna situación emocional en tu vida que interfiera con la capacidad para trabajar, estudiar, dormir, comer y disfrutar de actividades?","¿Con qué frecuencia experimentas sensaciones de bienestar/seguridad/alegría en tu vida diaria?","¿De qué temas relacionados a la sana convivencia y salud mental te gustaría conocer más?","¿Haz tenido relaciones sexuales?","¿Estuviste de acuerdo en tener relaciones sexuales?","¿A qué edad tuviste tu primera relación sexual? ","La última vez que tuviste relaciones sexuales, ¿tu pareja o tú utilizaron condón o preservativo masculino o femenino?","¿Alguna vez ha sido diagnosticado con una enfermedad de transmisión sexual?","En los últimos 12 meses, ¿has tenido o sentido alguno de los siguientes síntomas? ","¿Existe algo relacionado a tu sexualidad que cause preocupación o estrés en tu vida?","De los siguientes temas, ¿cuál te gustaría conocer un poquito más?","En los últimos 12 meses, ¿participaste en alguna pelea con otros jóvenes?","Durante el mes pasado, ¿alguna vez tomaste alcohol como para sentirte borracho/a?","¿Tienes novio o novia?","¿Cuanto tiempo llevas en tu noviazgo","¿Como evaluas la relación con tu pareja?","Durante los últimos 12 meses, tu pareja intencionalmente ¿te golpeo, abofeteo, o te dañó físicamente de alguna manera?","¿Solicitaste ayuda, a alguien?","¿Alguna vez en tu vida, has consumido alguna droga?","Que sustencia has consumido:","Sientes que el consumo de alguna de las sustancias que has mencionado, ¿te ha causado algún problema en tu vida cotidiana?","¿Te gustaría hablar con un profesional de salud acerca de las adicciones?"
"2022/03/09 3:46:28 p. m. GMT-5","CECyTE Plantel No. 09 - Chichicapa","Femenino","15 años","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:46:30 p. m. GMT-5","CECyTE Plantel No. 17 - Francisco J. Santamaría","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Buen trato y compañerismo","Sí","Sí","17","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Mas de 2 años","9","No","No","No","","",""
"2022/03/09 3:46:40 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:46:45 p. m. GMT-5","CECyTE Plantel No. 06 - Ignacio Gutiérrez Gómez","Masculino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Ninguna","No","No","No","","","","","No","","",""
"2022/03/09 3:47:01 p. m. GMT-5","CECyTE Plantel No. 17 - Francisco J. Santamaría","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","No","Sí","Sí","Sí","Tristeza;Ansiedad;Enojo o rabia","Ya estoy llegando con un especialista","No","Algunas veces","Depresión y ansiedad","Sí","Sí","16","No","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","Sí","Sí","No","","","","","Sí","Marihuana;Cocaína","No","Ya estoy en contacto con un especialista"
"2022/03/09 3:47:05 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","No","No","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Nunca","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/09 3:47:09 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Femenino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;Ansiedad","Me gustaria hablar con un especialista","No","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:47:45 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza","Ya estoy llegando con un especialista","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/09 3:47:47 p. m. GMT-5","CECyTE Plantel No. 09 - Chichicapa","Femenino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","No","Sí","No","Tristeza;Enojo o rabia","No estoy interesado(a)","Si","Pocas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:47:56 p. m. GMT-5","CECyTE Plantel No. 17 - Francisco J. Santamaría","Femenino","19","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","No","Algunas veces","Buen trato y compañerismo","Sí","Sí","18","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Menos de 6 meses","10","No","No","Sí","Marihuana;Cocaína","No","Ya estoy en contacto con un especialista"
"2022/03/09 3:48:17 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Masculino","16 años","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","No","Tristeza;Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/09 3:48:18 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Femenino","15","Primer año (primer o segundo semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:48:28 p. m. GMT-5","CECyTE Plantel No. 17 - Francisco J. Santamaría","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;Enojo o rabia","No estoy interesado(a)","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","Sí","No","Sí","Menos de 6 meses","8","No","No","No","","",""
"2022/03/09 3:48:37 p. m. GMT-5","CECyTE Plantel No. 18 - Encrucijada","Femenino","15 años","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;No, no he sentido nada, me siento muy bien;Me estreso ","Me gustaria hablar con un especialista","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:49:03 p. m. GMT-5","CECyTE Plantel No. 03 - Tequila","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Muchas veces","Manejo de la frustración","Sí","Sí","15","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","Sí","No","Sí","Menos de 6 meses","9","No","No","Sí","Marihuana;Cocaína;Alucinógenos","Sí","Si me gustaria ser atendido(a) por un especialista"
"2022/03/09 3:49:13 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:49:44 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Femenino","15 años ","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:50:06 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","16","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","Enojo o rabia","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/09 3:50:19 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Ansiedad;Enojo o rabia","No estoy interesado(a)","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/09 3:50:28 p. m. GMT-5","CECyTE Plantel No. 18 - Encrucijada","Femenino","15 años ","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:50:47 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Masculino","16 años","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","Sí","No","No","","","","","No","","",""
"2022/03/09 3:50:52 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","Tristeza;No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","Sí","No","No","","","","","No","","",""
"2022/03/09 3:51:00 p. m. GMT-5","CECyTE Plantel No. 09 - Chichicapa","Femenino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","No","Sí","No","Tristeza;Enojo o rabia","No estoy interesado(a)","Si","Pocas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:51:16 p. m. GMT-5","CECyTE Plantel No. 02 - Tacotapa","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Ninguna","Sí","No","No","","","","","No","","",""
"2022/03/09 3:51:29 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/09 3:51:53 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Muchas veces","Depresión y ansiedad","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Entre 6 meses y un año","9","No","No","No","","",""
"2022/03/09 3:52:03 p. m. GMT-5","CECyTE Plantel No. 09 - Chichicapa","Masculino","17","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:52:46 p. m. GMT-5","CECyTE Plantel No. 03 - Tequila","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Tristeza;Ansiedad;Enojo o rabia","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/09 3:53:11 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","No","Tristeza;Enojo o rabia","No estoy interesado(a)","Si","Algunas veces","Depresión y ansiedad","Sí","Sí","17","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/09 3:53:19 p. m. GMT-5","CECyTE Plantel No. 17 - Francisco J. Santamaría","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","Me desespero rápido","No estoy interesado(a)","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/09 3:53:21 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","No","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","Sí","Sí","14","Sí","No","Dolor al orinar o ganas de orinar muy frecuentes;Picazón en la vulva o área genital externa","No","Sexualidad plena y responsable","No","No","Sí","Mas de 2 años","9","No","No","Sí","Marihuana;dextrometorfano, alcohol (si llegase a contar)","Sí","No estoy interesado(a)"
"2022/03/09 3:53:27 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","No","Sí","Sí","Ansiedad;Enojo o rabia","No estoy interesado(a)","Si","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/09 3:53:40 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/09 3:53:54 p. m. GMT-5","CECyTE Plantel No. 17 - Francisco J. Santamaría","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Pocas veces","Manejo de la frustración","Sí","Sí","14","No","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","Sí","Menos de 6 meses","10","No","No","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/09 3:54:31 p. m. GMT-5","CECyTE Plantel No. 06 - Ignacio Gutiérrez Gómez","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","Tristeza","No estoy interesado(a)","Si","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/09 3:54:57 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","17 ","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/09 3:54:57 p. m. GMT-5","CECyTE Plantel No. 02 - Tacotapa","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","No","Sí","No","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Ninguna","No","No","No","","","","","No","","",""
"2022/03/09 3:55:40 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","Sí","Menos de 6 meses","9","No","No","No","","",""
"2022/03/09 3:55:44 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Entre 1 y 2 años","9","No","No","No","","",""
"2022/03/09 3:55:56 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Femenino","19 ","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Pocas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/09 3:56:35 p. m. GMT-5","CECyTE Plantel No. 17 - Francisco J. Santamaría","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Pocas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/09 3:57:26 p. m. GMT-5","CECyTE Plantel No. 09 - Chichicapa","Masculino","15años ","Primer año (primer o segundo semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","Si","Pocas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","Sí","No","","","","","No","","",""
"2022/03/09 3:58:08 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","19","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","No","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Pocas veces","Manejo de la frustración","Sí","Sí","17","No","No","Ninguna de las anteriores, me he sentido bien","Sí","Sexualidad plena y responsable","Sí","Sí","Sí","Menos de 6 meses","10","No","No","Sí","Cocaína","No","No estoy interesado(a)"
"2022/03/09 3:58:10 p. m. GMT-5","CECyTE Plantel No. 09 - Chichicapa","Masculino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","Sí","Mas de 2 años","10","No","No","No","","",""
"2022/03/09 3:58:39 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Estrés, cansancio ","Me gustaria hablar con un especialista","No","Algunas veces","Depresión y ansiedad","Sí","Sí","15","No","No","Dolor al orinar o ganas de orinar muy frecuentes","No","Sexualidad plena y responsable","No","No","Sí","Entre 6 meses y un año","8","No","No","No","","",""
"2022/03/09 3:58:40 p. m. GMT-5","CECyTE Plantel No. 15 - Pob. C-10 ""Gral. Lázaro Cárdenas Del Río""","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Pocas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 3:58:59 p. m. GMT-5","CECyTE Plantel No. 21 - Oriente 6ta. sección","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/09 3:59:32 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","Sí","No","No","","","","","No","","",""
"2022/03/09 3:59:35 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/09 3:59:35 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Menos de 6 meses","9","No","No","No","","",""
"2022/03/09 3:59:41 p. m. GMT-5","CECyTE Plantel No. 17 - Francisco J. Santamaría","Femenino","20 años","Tercer año (quinto o sexto semestre)","Vivo con conocidos o amigos","Sí","Sí","Sí","Sí","Sí","Ansiedad","Me gustaria hablar con un especialista","Si","Algunas veces","Manejo de la frustración","Sí","Sí","18","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Mas de 2 años","9","No","No","No","","",""
"2022/03/09 3:59:45 p. m. GMT-5","CECyTE Plantel No. 03 - Tequila","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 4:00:11 p. m. GMT-5","CECyTE Plantel No. 18 - Encrucijada","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/09 4:00:19 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Masculino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","No","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Pocas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","Sí","No","","","","","No","","",""
"2022/03/09 4:00:33 p. m. GMT-5","CECyTE Plantel No. 07 - Heriberto Kehoe Vincent","Masculino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/09 4:00:47 p. m. GMT-5","CECyTE Plantel No. 05 - Ignacio Allende","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
